cve_id,arm,dimension,n_passes,mean_score,sd_score,scores
CVE-2020-8010,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2020-8010,baseline,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2020-8010,nvd,comprehension,3,3.0,0.0,"[3, 3, 3]"
CVE-2020-8010,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2020-8010,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2020-8010,persona,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2020-8260,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2020-8260,baseline,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2020-8260,nvd,comprehension,3,4.0,0.0,"[4, 4, 4]"
CVE-2020-8260,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2020-8260,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2020-8260,persona,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2020-8655,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2020-8655,baseline,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2020-8655,nvd,comprehension,3,4.0,0.0,"[4, 4, 4]"
CVE-2020-8655,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2020-8655,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2020-8655,persona,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2020-8958,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2020-8958,baseline,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2020-8958,nvd,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2020-8958,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2020-8958,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2020-8958,persona,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2021-21974,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-21974,baseline,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2021-21974,nvd,comprehension,3,4.333333333333333,0.5773502691896258,"[4, 4, 5]"
CVE-2021-21974,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-21974,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-21974,persona,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2021-22204,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-22204,baseline,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2021-22204,nvd,comprehension,3,3.0,0.0,"[3, 3, 3]"
CVE-2021-22204,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-22204,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-22204,persona,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2021-22717,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-22717,baseline,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2021-22717,nvd,comprehension,3,3.0,0.0,"[3, 3, 3]"
CVE-2021-22717,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-22717,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-22717,persona,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2021-23894,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-23894,baseline,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2021-23894,nvd,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-23894,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-23894,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-23894,persona,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2021-26084,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-26084,baseline,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2021-26084,nvd,comprehension,3,4.0,0.0,"[4, 4, 4]"
CVE-2021-26084,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-26084,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-26084,persona,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2021-30970,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-30970,baseline,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2021-30970,nvd,comprehension,3,3.0,0.0,"[3, 3, 3]"
CVE-2021-30970,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-30970,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-30970,persona,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2021-37976,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-37976,baseline,faithfulness,3,2.6666666666666665,0.5773502691896258,"[2, 3, 3]"
