screenshot_id,heuristic,n_passes,mean_score,sd_score,scores
7_tooltip_tech_details,visibility_of_system_status,3,4.666666666666667,0.5773502691896258,"[4, 5, 5]"
7_tooltip_tech_details,match_real_world,3,4.0,0.0,"[4, 4, 4]"
7_tooltip_tech_details,user_control_freedom,3,4.666666666666667,0.5773502691896258,"[4, 5, 5]"
7_tooltip_tech_details,consistency_standards,3,5.0,0.0,"[5, 5, 5]"
7_tooltip_tech_details,error_prevention,3,3.0,0.0,"[3, 3, 3]"
7_tooltip_tech_details,recognition_not_recall,3,5.0,0.0,"[5, 5, 5]"
7_tooltip_tech_details,flexibility_efficiency,3,3.0,0.0,"[3, 3, 3]"
7_tooltip_tech_details,aesthetic_minimalist,3,5.0,0.0,"[5, 5, 5]"
7_tooltip_tech_details,error_recovery,3,3.0,0.0,"[3, 3, 3]"
7_tooltip_tech_details,help_documentation,3,5.0,0.0,"[5, 5, 5]"
8_tooltip_filter_label,visibility_of_system_status,3,5.0,0.0,"[5, 5, 5]"
8_tooltip_filter_label,match_real_world,3,4.0,0.0,"[4, 4, 4]"
8_tooltip_filter_label,user_control_freedom,3,5.0,0.0,"[5, 5, 5]"
8_tooltip_filter_label,consistency_standards,3,5.0,0.0,"[5, 5, 5]"
8_tooltip_filter_label,error_prevention,3,4.0,0.0,"[4, 4, 4]"
8_tooltip_filter_label,recognition_not_recall,3,4.0,0.0,"[4, 4, 4]"
8_tooltip_filter_label,flexibility_efficiency,3,5.0,0.0,"[5, 5, 5]"
8_tooltip_filter_label,aesthetic_minimalist,3,5.0,0.0,"[5, 5, 5]"
8_tooltip_filter_label,error_recovery,3,3.0,0.0,"[3, 3, 3]"
8_tooltip_filter_label,help_documentation,3,5.0,0.0,"[5, 5, 5]"
